Product,RRP EUR,Expected CHF,Current CHF,Difference,Percent,Status,Product ID
"Badge holder -16",1955.19,2092.05,28.85,-2063.20,-98.6%,CRITICAL,
"Weapon sling system 1.0",1955.19,2092.05,110.55,-1981.50,-94.7%,CRITICAL,
"Shotgun holder 1.0",1955.19,2092.05,169.45,-1922.60,-91.9%,CRITICAL,
"Rope bag -05",1566.4,1676.05,45.90,-1630.15,-97.3%,CRITICAL,
"Leg attachment light -10",1566.4,1676.05,52.10,-1623.95,-96.9%,CRITICAL,
"30L Mission backpack 1.1",1566.4,1676.05,217.05,-1459.00,-87.0%,CRITICAL,
"30L Specialist backpack",1566.4,1676.05,258.00,-1418.05,-84.6%,CRITICAL,
"Herma 25 mm repair buckle",1048.95,1122.38,1.50,-1120.88,-99.9%,CRITICAL,
"Name card holder -11",1048.95,1122.38,8.90,-1113.48,-99.2%,CRITICAL,
"Large insert pouch 1.0",1048.95,1122.38,55.00,-1067.38,-95.1%,CRITICAL,
"Rifle sling w attachment -09",1048.95,1122.38,55.65,-1066.73,-95.0%,CRITICAL,
"A5 Field binder",1048.95,1122.38,82.65,-1039.73,-92.6%,CRITICAL,
"Side pockets pair 2.0",1048.95,1122.38,116.25,-1006.13,-89.6%,CRITICAL,
"50L Mission backpack 2.0",1048.95,1122.38,392.40,-729.98,-65.0%,CRITICAL,
"34&#215;64 cm dual Weapon bag -11",1165.5,1247.09,538.80,-708.29,-56.8%,CRITICAL,
"Herma 25 mm buckle",636.13,680.66,2.25,-678.41,-99.7%,CRITICAL,
"Ballistic thigh protection -15",218.36,233.65,822.45,588.80,252.0%,CRITICAL,
"Elastic cumber band w compartments 1.0",512.42,548.29,92.50,-455.79,-83.1%,CRITICAL,
"Hypothermal bag 1.1",120.43,128.86,537.80,408.94,317.4%,CRITICAL,
"Ribs combat belt 1.0",512.42,548.29,166.25,-382.04,-69.7%,CRITICAL,
"Medium Notebook cover",355.27,380.14,26.15,-353.99,-93.1%,CRITICAL,
"Small Notebook cover",335.07,358.52,24.50,-334.02,-93.2%,CRITICAL,
"90L Duffel bag 1.0",494.04,528.62,196.60,-332.02,-62.8%,CRITICAL,
"Wallet",335.07,358.52,30.25,-328.27,-91.6%,CRITICAL,
"Squeeze MOLLE front panel 1.0",355.27,380.14,56.45,-323.69,-85.2%,CRITICAL,
"T-bar set -12",300.36,321.39,13.50,-307.89,-95.8%,CRITICAL,
"Squeeze buckle closure 1.0",355.27,380.14,92.50,-287.64,-75.7%,CRITICAL,
"Squeeze zipper closure -17",355.27,380.14,92.50,-287.64,-75.7%,CRITICAL,
"6L Funny pack",355.27,380.14,93.35,-286.79,-75.4%,CRITICAL,
"Covert backpack -21",706.81,756.29,1021.00,264.71,35.0%,HIGH,
"40L Specialist backpack",85.72,91.72,335.90,244.18,266.2%,CRITICAL,
"Squeeze ballistic front and back 1.3 S2",512.42,548.29,307.20,-241.09,-44.0%,HIGH,
"230 Roller bag -15",548.94,587.37,792.95,205.58,35.0%,HIGH,
"Shoulder pad set -15",227.55,243.48,43.90,-199.58,-82.0%,CRITICAL,
"Herma T-bar set 1.0",191.4,204.80,9.75,-195.05,-95.2%,CRITICAL,
"Multi insert panel 1.0",209.27,223.92,45.80,-178.12,-79.5%,CRITICAL,
"55L Duffel bag -17",298.75,319.66,145.75,-173.91,-54.4%,CRITICAL,
"Leg strap -11",163.32,174.75,17.15,-157.60,-90.2%,CRITICAL,
"Equipment vest -16",318.01,340.27,191.65,-148.62,-43.7%,HIGH,
"Technical equipment vest 2.0",318.01,340.27,191.65,-148.62,-43.7%,HIGH,
"34&#215;100 cm dual Weapon bag -11",373,399.11,538.80,139.69,35.0%,HIGH,
"Admin case",227.55,243.48,104.80,-138.68,-57.0%,CRITICAL,
"30-40L Combat backpack 1.0",173.58,185.73,320.30,134.57,72.5%,CRITICAL,
"Herma I-bar set 1.0",133.71,143.07,8.90,-134.17,-93.8%,CRITICAL,
"Squeeze quick adjust -17",218.36,233.65,102.35,-131.30,-56.2%,CRITICAL,
"Gas mask bag -11",199.57,213.54,83.50,-130.04,-60.9%,CRITICAL,
"I-Bar set -10",129.62,138.69,8.90,-129.79,-93.6%,CRITICAL,
"30&#215;61 cm Weapon bag -13",343.94,368.02,496.85,128.83,35.0%,HIGH,
"40L protective insert",331.94,355.18,479.50,124.32,35.0%,HIGH,
"3 row cummerbund 1.0",218.36,233.65,110.55,-123.10,-52.7%,CRITICAL,
"Organized bag -11",209.27,223.92,339.15,115.23,51.5%,CRITICAL,
"30L protective insert 1.1",252.83,270.53,365.20,94.67,35.0%,HIGH,
"Ribs Chest rig 1.0",242.62,259.60,350.45,90.85,35.0%,HIGH,
"3L Multipurpose bag -15",211.31,226.10,137.60,-88.50,-39.1%,HIGH,
"15L Princess backpack  -17",166.89,178.57,99.05,-79.52,-44.5%,HIGH,
"VIRVE pouch, Basic-11",45.39,48.57,117.90,69.33,142.7%,CRITICAL,
"Multi-tarp 1.0",178.21,190.68,257.45,66.77,35.0%,HIGH,
"Spotting Scope cover",200.84,214.90,278.60,63.70,29.6%,HIGH,
"Pancake holster -16",114.31,122.31,62.20,-60.11,-49.1%,HIGH,
"Binder mechanism",65.3,69.87,10.55,-59.32,-84.9%,CRITICAL,
"GP pouch 3",73.45,78.59,19.30,-59.29,-75.4%,CRITICAL,
"Handcuff pouch -09",73.45,78.59,19.80,-58.79,-74.8%,CRITICAL,
"Backpack belt-12",146.8,157.08,212.05,54.97,35.0%,HIGH,
"2,5L hydration cover -16",58.6,62.70,107.70,45.00,71.8%,CRITICAL,
"Speed magazine pouch 2.0",73.45,78.59,36.80,-41.79,-53.2%,CRITICAL,
"Combination glove holder -09",57.73,61.77,20.40,-41.37,-67.0%,CRITICAL,
"Trauma pouch -17",73.45,78.59,37.60,-40.99,-52.2%,CRITICAL,
"30L Waterproof mission backpack 1.0",108.31,115.89,156.45,40.56,35.0%,HIGH,
"Squeeze side panel pouch set -18",163.32,174.75,214.60,39.85,22.8%,HIGH,
"Virve radio pouch -10",73.45,78.59,40.10,-38.49,-49.0%,HIGH,
"GP pouch 3 long",57.73,61.77,23.70,-38.07,-61.6%,CRITICAL,
"40L Velcro and webbing  panel -10",101.24,108.33,146.25,37.92,35.0%,HIGH,
"15-20L All pack",191.4,204.80,171.90,-32.90,-16.1%,MEDIUM,
"Radio pouch -15",57.73,61.77,31.05,-30.72,-49.7%,HIGH,
"Telescopic baton holder -08",48.73,52.14,26.15,-25.99,-49.8%,HIGH,
"30L insert wall -10",68.86,73.68,99.45,25.77,35.0%,HIGH,
"Low profile 3L hydration bladder",65.11,69.67,94.05,24.38,35.0%,HIGH,
"Snigel T-shirt 2.0",3.98,4.26,27.80,23.54,552.6%,CRITICAL,
"Elastic pouch 1.0",48.7,52.11,31.05,-21.06,-40.4%,HIGH,
"GP pouch 2",39.26,42.01,21.20,-20.81,-49.5%,HIGH,
"Double handcuff pouch -11",54.15,57.94,78.20,20.26,35.0%,HIGH,
"Covert stretch vest -16",129.12,138.16,117.90,-20.26,-14.7%,MEDIUM,
"Canister pouch -15",54.12,57.91,78.15,20.24,35.0%,HIGH,
"Covert Telescopic baton wrist holder -08",49.29,52.74,71.20,18.46,35.0%,HIGH,
"Grenade pouch -10",48.7,52.11,35.15,-16.96,-32.5%,HIGH,
"Medium Admin pouch -18",73.45,78.59,63.00,-15.59,-19.8%,MEDIUM,
"8&#215;19 pouch -14",57.73,61.77,46.65,-15.12,-24.5%,HIGH,
"Small Admin pouch",48.73,52.14,37.60,-14.54,-27.9%,HIGH,
"Trauma shears holder 1.0",31.34,33.53,45.25,11.72,35.0%,HIGH,
"GP pouch 2 long",29.07,31.10,22.05,-9.05,-29.1%,HIGH,
"Small dump pouch 2.0",39.26,42.01,49.10,7.09,16.9%,MEDIUM,
"Zipped dump bag -10",57.73,61.77,56.45,-5.32,-8.6%,MEDIUM,
"Cal 50 Magazine pouch -10",39.26,42.01,46.85,4.84,11.5%,MEDIUM,
"T-Tape holder 1.0",7.78,8.32,11.25,2.93,35.2%,HIGH,
"Foldable drinking cup",4.83,5.17,6.95,1.78,34.4%,HIGH,
"Medic patch w Velcro",5.05,5.40,6.45,1.05,19.4%,MEDIUM,
